name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
Kaffa Coffee Roasters,Coffee shop,"The lane of Bank Of Baroda, near hotel baroda residency, Alkapuri Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3121384,73.1734536,4.4,,098253 36364 ,,Kaffa+Coffee+Roasters,cafe,22.306023,73.171626
Coffee Yard,Coffee shop,"GF 01, campus, PRIVILLAGE AVENUE, Sarabhai Rd, opp. ISHA HOSPITAL, Vadiwadi, Vadodara, Gujarat 390023 ",22.3174902,73.1667258,4.5,,099781 86903 ,,Coffee+Yard,cafe,22.316023,73.161626
Charmant The Heritage Cafe,Vegetarian cafe and deli,"Contractor's Bungalow, Faramji Rd, opp. Railway Booking Office, Alkapuri, Vadodara, Gujarat 390007 ",22.3116435,73.17934,4.3,,097730 50954 ,,Charmant+The+Heritage+Cafe,cafe,22.306023,73.161626
Curators Coffee,Coffee shop,"101, Corrum Complex, Jetalpur Rd, Chikuwadi, Haripura, Vadodara, Gujarat 390007 ",22.3079525,73.169574,4.5,,063592 20791 ,http://www.instagram.com/curators.coffee,Curators+Coffee,cafe,22.316023,73.161626
The Signature Brew,Cafe,"83 /A हाई विद्यालय, near बड़ोदा, Alkapuri, Vadodara, Gujarat 390007 ",22.3141227,73.1690845,4.1,,081412 87148 ,,The+Signature+Brew,cafe,22.306023,73.161626
First & Last Sip Cafe,Restaurant,"F5, Tower, 3A, Jetalpur Rd, Kashivishweshwar Township, Haripura, Vadodara, Gujarat 390007 ",22.307564,73.17098,4.7,,097250 78881 ,,First+%26+Last+Sip+Cafe,cafe,22.306023,73.161626
Meet Me Cafe – Private Cabin Cafe in Vadodara,Cafe,"Indiabulls Megamall, S/12C, Swami Vivekananda Railway Over Brg, Road, Akota, Vadodara, Gujarat 390007 ",22.3061378,73.179725,4.3,,099047 99887 ,https://www.instagram.com/meet_me_cafe_vadodara?igsh=bGczcmU5ZWlvdjYx&utm_source=qr,Meet+Me+Cafe+%E2%80%93+Private+Cabin+Cafe+in+Vadodara,cafe,22.316023,73.161626
Pefeteria - Gujarat's 1st Pet Cafe,Cafe,"PEFETERIA, M, K School Lane, near बड़ोदा हाई विद्यालय, Alkapuri Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3141364,73.1692678,4.5,,074359 77719 ,http://pefeteria.com/,Pefeteria+-+Gujarat%27s+1st+Pet+Cafe,cafe,22.306023,73.161626
Devi's Coffee Bar,Cafe,"GF 16, Glacier Complex, Jetalpur Rd, near pizza Bell, Anupum Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3074351,73.172511,4.5,,094270 45632 ,,Devi%27s+Coffee+Bar,cafe,22.316023,73.171626
Pure Beans & Creams,Coffee store,"Before Hampton by Hilton Hotel, # 10, Kanha Capital, RC Dutt Road Opposite Express hotel, Alkapuri, Vadodara, Gujarat 390007 ",22.3108343,73.1683195,4.6,,099784 47337 ,,Pure+Beans+%26+Creams,cafe,22.316023,73.171626
Cafe Kaffeine,Coffee shop,"Centre Square Mall, Sayaji Path, Near Genda Circle, Nand Agricultural University Farm, Alkapuri, Vadodara, Gujarat 390023 ",22.318351,73.169439,4.1,,,,Cafe+Kaffeine,cafe,22.316023,73.171626
C&C House of Coffee & Chocolates,Coffee shop,"Dr Rustam, 31, Dr Rustom Cama Marg, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3148703,73.1707692,4.1,,,,C%26C+House+of+Coffee+%26+Chocolates,cafe,22.316023,73.171626
