name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
Cafein,Cafe,"Gf-12, signet hub, Akshar Chowk, Muj Mahuda, Vadodara, Gujarat 390012 ",22.2805292,73.1645771,4.7,9,090160 49601 ,,ChIJf3VoJLbHXzkRwb2v-SVtxBY,cafe,22.236144,73.171149
Unplaned Cafe,Cafe,"1 Yogiraj Complex, Near, Narayan Garden Rd, opp. Lotus Plaza, New Alkapuri, Laxmipura, Vadodara, Gujarat 390023 ",22.3265552,73.1334626,4.4,140,,,ChIJlSLatnHJXzkRoB0iua_IWbc,cafe,22.236144,73.181149
Café Corner,Coffee shop,"GF - 27, Samanvay Status 2, Padra Road, beside BANCO, Atladara, Vadodara, Gujarat 391410 ",22.268663,73.13958,4.9,8,,,ChIJk-iBuKPHXzkRDTYES9Xiy9g,cafe,22.236144,73.161149
Coffee Clan,Cafe,"Shivang Complex, Shop N0, 4 5 6, Urmi Rd, Opp Gail Office, Punit Nagar, Society, Vadodara, Gujarat 390007 ",22.3028836,73.1678508,4.4,"1,648",074054 12238 ,,ChIJRTESeabIXzkRc-xAEmjKEFY,cafe,22.236144,73.181149
Maple café,Coffee shop,"FF -41,SIDDHARTHA MAGNUM PLUS Besides bansal mall,somatalav, Susen - Tarsali Ring Rd, Danteshwar, Vadodara, Gujarat 390009 ",22.2667794,73.2218957,4.9,14,,,ChIJDdwIqobFXzkRj0RM1GnzL44,cafe,22.236144,73.171149
KAFFEINE THE COFFEE BAR & FOOD CORNER,Cafe,"GF-1,2, Kanha Dreamland, Waghodia Rd, opp. Kanha Luxuria, near Parivar Char Rasta, Kendranagar, Vadodara, Gujarat 390019 ",22.2921626,73.250454,4.8,160,079902 21222 ,,ChIJMUHF2UnFXzkRS2qgE9EJUUY,cafe,22.236144,73.181149
Café Coffee Day,Cafe,"No 103 & 104, Upper Grnd Flr, Aries Pavillion, Vasna Rd, Niti Park Society, Shobhana Nagar, Shivashraya Society, Tandalja, Vadodara, Gujarat 390007 ",22.2948607,73.1588426,4.2,"1,040",1800 102 5093 ,https://tandalja.cafecoffeeday.com/,ChIJIYirRCfGXzkRa1n-AdwJQas,cafe,22.236144,73.161149
Karma Cafe,Cafe,"Karma cafe, VIP Rd, near Jain derasar, Amit Nagar, Karelibagh, Vadodara, Gujarat 390018 ",22.3263521,73.2013351,4.5,164,096013 56553 ,,ChIJjSazNMjPXzkRzDIwqJHlmFk,cafe,22.236144,73.171149
Caffein Cafe,Cafe,"Gokul Society, 6, Vasna - Bhayli Main Rd, Vasna jakat Naka, Ravi Park Society, Saiyed Vasna, Vadodara, Gujarat 390020 ",22.295097,73.1434171,4.2,"1,605",074053 69369 ,http://www.caffein.co.in/,ChIJte1seYLIXzkRLdqp7TXO_5Y,cafe,22.236144,73.161149
First & Last Sip Cafe,Restaurant,"F5, Tower, 3A, Jetalpur Rd, Kashivishweshwar Township, Haripura, Vadodara, Gujarat 390007 ",22.307564,73.17098,4.7,103,097250 78881 ,,ChIJdZn19NjJXzkRjNrK1IaYQdE,cafe,22.236144,73.161149
cafe,Cafe,"Gf 18,19,20, S square mall, opposite Vishwamohini apartment, near Ganga jamuna hospital, Ganga Jamana Society, Subhanpura, Vadodara, Gujarat 390023 ",22.3202614,73.159589,4.8,47,084870 06466 ,http://www.cafecup90s.com/,ChIJ890e_b3JXzkRiYxc6FMStmo,cafe,22.236144,73.161149
HIDE & SEEK CAFE,Cafe,"GF 22, Lilleria Paramount, near ICICI Bank, Near Tulsidham Char Rasta, Maninagar Society, Manjalpur, Vadodara, Gujarat 390011 ",22.2688058,73.1995049,4.8,62,078598 74643 ,https://hide-and-seek-cafe.vercel.app/,ChIJPUZDkzjFXzkRxfLKJt91kHI,cafe,22.236144,73.181149
The Nirvaan Cafe & Lounge,Cafe,"Sun Pharma Rd, Pramukh Swami nagar, Atladara, Vadodara, Gujarat 390012 ",22.2796844,73.1530388,4.1,"1,067",,,ChIJZ_W031LHXzkRK_PVFZyAHlE,cafe,22.236144,73.161149
Times Cafe HQ OP Road,Cafe,"Sai Villa Complex, 103, Old Padra Rd, opp. Reliance Mall, Shripal Society, Madhav Nagar, Akota, Vadodara, Gujarat 390007 ",22.2858264,73.1650663,4.1,653,096626 89707 ,,ChIJU29cTJDHXzkRm5CyJyEi1gk,cafe,22.236144,73.191149
Cafedelight,Cafe,"Amodar, bus stop, Waghodia Rd, Valmiki Society, Batuji Nagar, Kendranagar, Vadodara, Gujarat 390019 ",22.2999496,73.2390721,4.8,28,,,ChIJT4CnBQrFXzkR_vhLsYpFl7U,cafe,22.236144,73.201149
Cafe Bistro,Cafe,"White Potato Restaurant, Shankheshwar Parshwanath Marg Ground floor, Opposit D-mart, Besides, Akota, Vadodara, Gujarat 390007 ",22.2996912,73.169587,4.2,"1,894",099043 19904 ,http://www.facebook.com/coffeeshop.baroda,ChIJjXNWxafIXzkRTIZW2rzsEv8,cafe,22.236144,73.191149
The Recess Time,Cafe,"GF - 22, Pinnacle Business park, Tulshi Dham Rd, Manjalpur, Vadodara, Gujarat 390011 ",22.2711978,73.1950658,4.9,45,088663 95506 ,,ChIJ7TOaDDjFXzkR-ei8meratbQ,cafe,22.236144,73.211149
NIGHT LIFE CAFE,Restaurant,"National Highway 48, Baliyadev Temple Chowkdi, beside Gokul Restaurant, Makarpura, Vadodara, Gujarat 390014 ",22.2317015,73.200117,4.3,635,078018 78198 ,https://night-life-cafe.grexa.site/,ChIJxwzLM4jFXzkRHEZeLMjjYCg,cafe,22.236144,73.191149
Times Cafe The Lounge,Coffee shop,"Prafull Society, Tarangan Society, Haripura, Vadodara, Gujarat 390007 ",22.2999569,73.1691277,4.0,"1,266",096626 89707 ,,ChIJ2Riwqw3JXzkR7misdGC46nM,cafe,22.236144,73.191149
Golden point,Cafe,"G-f_8 c, m.patel plaza, Kalali Rd, opp. Collabera, Kalali, Vadodara, Gujarat 390010 ",22.2700551,73.1644654,4.9,75,070413 92928 ,,ChIJibrFpl3FXzkRk8k3SvdEi5E,cafe,22.246144,73.171149
THE DUGOUT CAFE_HOUSE_EDITION,Cafe,"6/7, near, Akota Stadium Rd, Sundarvan Society, Sheetal Nagar, Akota, Vadodara, Gujarat 390007 ",22.2959355,73.1710507,4.4,275,079900 41728 ,,ChIJSU5Sz3rHXzkR93jHMn2GUqo,cafe,22.246144,73.191149
Curators Coffee,Coffee shop,"101, Corrum Complex, Jetalpur Rd, Chikuwadi, Haripura, Vadodara, Gujarat 390007 ",22.3079525,73.169574,4.5,"1,180",063592 20791 ,http://www.instagram.com/curators.coffee,ChIJo_oNiOXJXzkRiIqVfPOR2bM,cafe,22.246144,73.221149
The Tulip Touch Café,Art cafe,"The Tulip Touch Cafe, opposite Galleria Mall, Prafull Society, Tarangan Society, Akota, Vadodara, Gujarat 390007 ",22.2998699,73.1692183,4.5,"1,989",091061 83731 ,,ChIJJaAKQgrJXzkRwimuPLKtIF8,cafe,22.246144,73.221149
Road side cafe,Cafe,"Susan circle, near 9 group SRP, Anand Baug Society, Tarsali, Vadodara, Gujarat 390010 ",22.2571228,73.199492,4.7,3,,,ChIJQ0CSZx3FXzkR8RfOEcMNpVQ,cafe,22.246144,73.221149
Aura cafe,Coffee shop,"K.d.patel party plot, beside dawat restaurant, NH 8 between kapurai and, Susen - Tarsali Ring Rd, next to dawat hotel, Vadodara, Gujarat 390009 ",22.2604597,73.2285548,4.0,1,,,ChIJUaxyWgDFXzkR4Qe-3o7tgPI,cafe,22.246144,73.221149
Lionize Restro Cafe,Cafe,"703, Everest Onyx, above Fabindia, Race Course, Vadiwadi, Vadodara, Gujarat 390021 ",22.3139032,73.1590781,4.6,384,098981 77703 ,https://lionizerestrocafe.com/,ChIJ8XixPivJXzkRctR09ZH-q9s,cafe,22.256144,73.191149
Mugs N Kisses cafe,Cafe,"GF-14, Sun Meelan, Bh Waghodia Check Post NH-48 Waghodia Crossing, Road, Vadodara, Gujarat 390019 ",22.2965694,73.2523521,4.9,42,094094 57846 ,,ChIJ3WZjrf7FXzkRAJcswYFzviI,cafe,22.256144,73.221149
Cafe Coffiesta,Coffee shop,"KAPURAI BRIDGE, TARSALI BY PASS,NH 48, AND, BETWEEN, Tarsali, Vadodara, Gujarat 390009 ",22.2572911,73.2261122,3.0,1,,,ChIJt88kskrFXzkRXBKl6Yvlbco,cafe,22.256144,73.231149
Heart & Brew Cafe and Restro,Cafe,"GF SR 1 Shree Siddheshwar Business Harbour Narayan Vidhyalay Road, NH 48, Dabhoi - Waghodia Ring Rd, Vadodara, Gujarat 390025 ",22.2851865,73.2466667,4.6,32,098250 60779 ,,ChIJq509YwDFXzkRqpBTc2uQiIs,cafe,22.276144,73.241149
Kalakar Cafe,Cafe,"SAI GANESH COMPLEX, GF: 15, BUSSTAND, opp. ZHAVERNAGAR, Bapod, Waghodia, Vadodara, Gujarat 390019 ",22.301174,73.2314623,4.8,96,076980 76986 ,https://kalakarcafe.in/,ChIJ71Hh6-TFXzkRsw1UCG8IU-s,cafe,22.276144,73.241149
MY EATERY CAFE,Cafe,"08, Padmanand Complex Near Hariyali Hotel, Parivaar Char Rasta, Dabhoi - Waghodia Ring Rd, Waghodia, Vadodara, Gujarat 390019 ",22.2951763,73.2380315,4.4,19,,,ChIJ5Rcrlo3FXzkRvgwnI1wF08Q,cafe,22.276144,73.241149
Cafe Maggiwale || Best Maggi Cafe | Candle Light Dinner Decoration,Cafe,"Shop No-03, Waghodia Rd, Near Parivar Char Rasta, Sarthi Nagar 2, Kendranagar, Vadodara, Gujarat 390019 ",22.2932805,73.2378247,4.8,135,096387 29529 ,http://www.instagram.com/maggiwalecafe,ChIJI-7HjHbPXzkRt-3q5-J-DEk,cafe,22.276144,73.241149
"The Corner Cafe , Vadodara",Cafe,"The Corner Cafe 33-Phoenix Resicom ,Vaikunth Char Rasta, Waghodia Rd, Vadodara, Gujarat 390019 ",22.2984635,73.2491455,4.9,193,073592 95384 ,,ChIJn-C-fmzFXzkR00JPSm709mo,cafe,22.276144,73.241149
Tasu's Cafe,Cafe,"GF-22 Labh Icon, Gotri, Vasana, Gujarat 390007 ",22.3071985,73.1379149,5.0,125,070166 91230 ,,ChIJWzOHP8_JXzkRvTXxQjJDOow,cafe,22.286144,73.141149
THE BROTHER'S CAFE,Coffee shop,"76PW+MGR, Narayan Vidyalaya Rd, Goverdhan Twp, Kendranagar, Vadodara, Gujarat 390025 ",22.286741,73.2462645,4.9,8,,,ChIJN3rP_lHFXzkRMD9rLz61CDA,cafe,22.276144,73.241149
CHAYRANAA,Coffee shop,"GF 1/2, Florance Pride, Sun Pharma Rd, opp. Corporation Garden, Mathura Nagri Society, Tandalja, Vadodara, Gujarat 390012 ",22.2808989,73.1585018,4.7,58,,,ChIJgdwiFwDHXzkRKUS4WOtm3cg,cafe,22.286144,73.161149
Social Cafeteria,Coffee shop,"FF 116, V3 landmark, Railway Station, Padra Road, near Atladra, Narayanwadi, Atladara, Vadodara, Gujarat 390012 ",22.274621,73.153493,5.0,38,092748 20114 ,,ChIJ3y6pl3rHXzkRK93TrWdCNv0,cafe,22.286144,73.161149
Hotcups Cafe,Coffee shop,"842R+RGX, Vasna Chauraha, Ashwamegh Nagar, Saiyed Vasna, Vadodara, Gujarat 390020 ",22.294943,73.143373,5.0,1,,,ChIJnzhJOs3JXzkR8AyDyzeLkiI,cafe,22.296144,73.141149
TASTEVILLA COFFEE & MORE,Restaurant,"siddhaswar Bussiness Harbour, GF/29, near NH08, opposite Narayan Hospital, Goverdhan Twp, Kendranagar, Vadodara, Gujarat 390025 ",22.2858708,73.2477809,5.0,2,099040 75289 ,,ChIJOxW8RL_FXzkRfmdRSrf1vDQ,cafe,22.286144,73.251149
Cafe WorkBrew,Cafe,"GF, Zex House, below Allure & Beard Studio, opposite Galleria Mall, Prafull Society, Tarangan Society, Akota, Vadodara, Gujarat 390007 ",22.2999024,73.1690952,4.3,262,082380 35000 ,https://www.instagram.com/work.brew/,ChIJp2iaVPPJXzkRwzaBj8cKxII,cafe,22.296144,73.161149
Devi's Coffee Bar,Cafe,"GF 16, Glacier Complex, Jetalpur Rd, near pizza Bell, Anupum Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3074351,73.172511,4.5,229,094270 45632 ,,ChIJjclUtczFXzkRiQbL-SU1KDk,cafe,22.296144,73.161149
Cafe appetitoo baungalow || Best Cafe In Akota || Best Fast Food Cafe || Best Coffee Cafe || Speciality Coffee,Coffee shop,"shraddha deep society, 12, beside om plaza, Akota, Vadodara, Gujarat 390007 ",22.2909699,73.1711808,4.3,110,090999 84962 ,,ChIJ-4LHBwDHXzkRpVMfyv6eLN0,cafe,22.296144,73.171149
80/20 CAFE CARTEL,Coffee shop,"FF 6, CLASSIC COMPLEX, above KHAKHI RESTARUNT, opp. Akota Garden Main Road, Sheetal Nagar, Akota, Vadodara, Gujarat 390007 ",22.2928401,73.1707429,4.5,10,078740 80803 ,http://www.brewingskill.com/,ChIJ5WEzUwDHXzkRcrh6entEml8,cafe,22.296144,73.171149
Chaibugs,Cafe,"Plotno.11, Shraddhadeep Society, Akota - Mujmahuda Rd, opp. GIHM College, Sheetal Nagar, Akota, Vadodara, Gujarat 390020 ",22.2909016,73.1711277,4.4,"1,175",063547 26093 ,,ChIJMyH3_3bHXzkR16fkPuWG4oM,cafe,22.296144,73.171149
