name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
Kashish Food,Eatery,"shop no 27, pramukh bazar, opp. madhavnagar, Jalaram Nagar, Atladara, Vadodara, Gujarat 390012 ",22.2678073,73.1505679,4.8,,089808 49969 ,,Kashish+Food,restaurant,22.255,73.115
Sahajanad Restaurant,Restaurant,"75G5+36P, Padra Road, Above Premvati, Narayanwadi, Atladara, Vadodara, Gujarat 390007 ",22.2752144,73.1580884,3.9,,,,Sahajanad+Restaurant,restaurant,22.255,73.115
House of Munch A MultiCuisine Restaurant and Banquet,Fine dining restaurant,"Food Castle, Vasna - Bhayli Main Rd, nr. Bright School, Bhayli, Vadodara, Gujarat 391410 ",22.2906109,73.1312798,3.6,,,,House+of+Munch+A+MultiCuisine+Restaurant+and+Banquet,restaurant,22.255,73.115
MOM'S KITCHEN,Vegetarian restaurant,"12, Shenav Eklav Complex, Priya Cinema Road, Bhayli, Vadodara, Gujarat 391410 ",22.2940097,73.1295983,4.9,,095102 98297 ,,MOM%27S+KITCHEN,restaurant,22.255,73.115
Popular Bites,Restaurant,"Gf 5, Divne Galaxy, Kalali Rd, opp. Cm Patel Farm, Chanakya Nagari, Kalali, Vadodara, Gujarat 390012 ",22.2614598,73.155197,4.9,,090382 87209 ,https://popular-bites.grexa.site/,Popular+Bites,restaurant,22.255,73.115
Hoppers: Multi Cuisine Restaurant,North Indian restaurant,"Everest Circle Besides Bright Day School, Vadodara, Gujarat 391410 ",22.2901095,73.1345031,4.2,,097279 75428 ,,Hoppers:+Multi+Cuisine+Restaurant,restaurant,22.255,73.115
Status Fine Dine Restaurant & Banquet,Punjabi restaurant,"frist floor 40Mt, Samanvay Status 2, Padra Road, Atladara, Vadodara, Gujarat 390012 ",22.2685151,73.139314,4.2,,063565 01110 ,,Status+Fine+Dine+Restaurant+%26+Banquet,restaurant,22.255,73.115
KHUSHBOO FOOD CORNER,Restaurant,"Gf 12A Vihav Excelus, Vasna - Bhayli Main Rd, opp. Aroma Avenue, Vadodara, Gujarat 391410 ",22.2918644,73.1351402,5.0,,092768 39428 ,,KHUSHBOO+FOOD+CORNER,restaurant,22.255,73.115
The Great Indian Dhaba,North Indian restaurant,"beside nayara petrol pump, near Satsang Complex, Atladara, Vadodara, Gujarat 390020 ",22.2707369,73.1443292,4.0,,,https://thegreatlndiandhaba.ezoshop.in/,The+Great+Indian+Dhaba,restaurant,22.255,73.115
PC'S KITCHEN,Restaurant,"11,MR Icon, Vasna - Bhayli Main Rd, near waves club, Vadodara, Gujarat 391410 ",22.2830096,73.1305566,4.6,,099988 03080 ,,PC%27S+KITCHEN,restaurant,22.255,73.115
