name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
cafe,Cafe,"Gf 18,19,20, S square mall, opposite Vishwamohini apartment, near Ganga jamuna hospital, Ganga Jamana Society, Subhanpura, Vadodara, Gujarat 390023 ",22.3202614,73.159589,4.8,,084870 06466 ,http://www.cafecup90s.com/,cafe,cafe,22.298,73.155
The Cave Cafe,Cafe,"2nd floor, Midway Height, opp. SSG Hospital, near Kala Ghoda Circle, Dak Bunglaw, Sayajiganj, Vadodara, Gujarat 390020 ",22.3080904,73.1895569,4.9,,088665 57838 ,http://thecavecafe.online/,The+Cave+Cafe,cafe,22.298,73.155
Kaffa Coffee Roasters,Coffee shop,"The lane of Bank Of Baroda, near hotel baroda residency, Alkapuri Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3121384,73.1734536,4.4,,098253 36364 ,,Kaffa+Coffee+Roasters,cafe,22.298,73.155
The Signature Brew,Cafe,"83 /A हाई विद्यालय, near बड़ोदा, Alkapuri, Vadodara, Gujarat 390007 ",22.3141227,73.1690845,4.1,,081412 87148 ,,The+Signature+Brew,cafe,22.298,73.155
Café Coffee Day,Cafe,"No 103 & 104, Upper Grnd Flr, Aries Pavillion, Vasna Rd, Niti Park Society, Shobhana Nagar, Shivashraya Society, Tandalja, Vadodara, Gujarat 390007 ",22.2948607,73.1588426,4.2,,1800 102 5093 ,https://tandalja.cafecoffeeday.com/,Caf%C3%A9+Coffee+Day,cafe,22.298,73.155
Cafe Bistro,Cafe,"White Potato Restaurant, Shankheshwar Parshwanath Marg Ground floor, Opposit D-mart, Besides, Akota, Vadodara, Gujarat 390007 ",22.2996912,73.169587,4.2,,099043 19904 ,http://www.facebook.com/coffeeshop.baroda,Cafe+Bistro,cafe,22.298,73.155
Lionize Restro Cafe,Cafe,"703, Everest Onyx, above Fabindia, Race Course, Vadiwadi, Vadodara, Gujarat 390021 ",22.3139032,73.1590781,4.6,,098981 77703 ,https://lionizerestrocafe.com/,Lionize+Restro+Cafe,cafe,22.298,73.155
Dev's Cafe,Cafe,"GF-05, Darshanam Trade Centre-II, near Surya Palace Hotel, Sayajiganj, Vadodara, Gujarat 390007 ",22.3030057,73.1828138,4.8,,079908 50131 ,,Dev%27s+Cafe,cafe,22.298,73.155
La Ville Cafe,Cafe,"Abbas Tyabji Rd, near Methodist Church, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390008 ",22.3215863,73.1886136,4.6,,076000 31580 ,,La+Ville+Cafe,cafe,22.298,73.155
Theist Cafe,Cafe,"SWC HUB, GF #07, Vasna - Bhayli Main Rd, Tandalja, Vadodara, Gujarat 391410 ",22.2901242,73.1301244,4.9,,097273 10722 ,,Theist+Cafe,cafe,22.298,73.155
Caffein Cafe,Cafe,"Gokul Society, 6, Vasna - Bhayli Main Rd, Vasna jakat Naka, Ravi Park Society, Saiyed Vasna, Vadodara, Gujarat 390020 ",22.295097,73.1434171,4.2,,074053 69369 ,http://www.caffein.co.in/,Caffein+Cafe,cafe,22.298,73.155
Times Cafe,Cafe,"Petrol Pump, 1st Floor Times Square Building, next to Fategunj, Fatehgunj, Vadodara, Gujarat 390008 ",22.3237258,73.1884181,4.1,,096626 89707 ,https://www.timescafe.in/,Times+Cafe,cafe,22.298,73.155
Charmant The Heritage Cafe,Vegetarian cafe and deli,"Contractor's Bungalow, Faramji Rd, opp. Railway Booking Office, Alkapuri, Vadodara, Gujarat 390007 ",22.3116435,73.17934,4.3,,097730 50954 ,,Charmant+The+Heritage+Cafe,cafe,22.298,73.155
BERRY QUE CAFE,Cafe,"Indraprastha Tower, VEGETABLE MARKET, G-4 INDRAPRASTH COMPLEX, NR STERLING HOSPITAl OPPO, A/SB- 3, Race Course Rd, opp. Inox Cinema, Ellora Park, Hari Nagar, Vadodara, Gujarat 390021 ",22.3143198,73.1599102,4.2,,,,BERRY+QUE+CAFE,cafe,22.298,73.155
The Nirvaan Cafe & Lounge,Cafe,"Sun Pharma Rd, Pramukh Swami nagar, Atladara, Vadodara, Gujarat 390012 ",22.2796844,73.1530388,4.1,,,,The+Nirvaan+Cafe+%26+Lounge,cafe,22.298,73.155
Cafe Madrid Vadodara,Cafe,"74CG+454, Madrid County By Pacifica Ground Floor, Bhayli Rd, inside Madrid County, near Proposed Swaminarayan Temple, Vadodara, Gujarat 391410 ",22.2702636,73.1254473,4.2,,063570 72681 ,,Cafe+Madrid+Vadodara,cafe,22.298,73.155
The Tulip Touch Café,Art cafe,"The Tulip Touch Cafe, opposite Galleria Mall, Prafull Society, Tarangan Society, Akota, Vadodara, Gujarat 390007 ",22.2998699,73.1692183,4.5,,091061 83731 ,,The+Tulip+Touch+Caf%C3%A9,cafe,22.298,73.155
First & Last Sip Cafe,Restaurant,"F5, Tower, 3A, Jetalpur Rd, Kashivishweshwar Township, Haripura, Vadodara, Gujarat 390007 ",22.307564,73.17098,4.7,,097250 78881 ,,First+%26+Last+Sip+Cafe,cafe,22.298,73.155
Dream Bean Cafe,Cafe,"Sainath avanue, B-201, Abbas Tyabji Rd, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390008 ",22.3216158,73.1886482,4.1,,093279 65710 ,,Dream+Bean+Cafe,cafe,22.298,73.165
The chai shotts cafe,Cafe,"Shop no - 5, Manubhai Towers, near Kala Ghoda Circle, Opp. M.S. University, Sarod, Sayajiganj, Vadodara, Gujarat 390005 ",22.3087222,73.18608,4.7,,095588 68029 ,,The+chai+shotts+cafe,cafe,22.298,73.165
Karma Cafe,Cafe,"Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009 ",23.0433594,72.5658815,4.5,,079 2754 0635 ,,Karma+Cafe,cafe,22.298,73.165
Cafe Brewito - Best cafe in vadodara | Best specialty coffee in town,Art cafe,"GF-1, Earth EON, Sama-Savli Rd, opp. Urmi School, Karelibagh, Vadodara, Gujarat 390024 ",22.341782,73.2035237,4.1,,095869 68006 ,https://cafebrewito.com/,Cafe+Brewito+-+Best+cafe+in+vadodara+%7C+Best+specialty+coffee+in+town,cafe,22.298,73.165
Cafe appetitoo baungalow || Best Cafe In Akota || Best Fast Food Cafe || Best Coffee Cafe || Speciality Coffee,Coffee shop,"shraddha deep society, 12, beside om plaza, Akota, Vadodara, Gujarat 390007 ",22.2909699,73.1711808,4.3,,090999 84962 ,,Cafe+appetitoo+baungalow+%7C%7C+Best+Cafe+In+Akota+%7C%7C+Best+Fast+Food+Cafe+%7C%7C+Best+Coffee+Cafe+%7C%7C+Speciality+Coffee,cafe,22.298,73.175
Caffe De Rio,Cafe,"F11, Old Padra Rd, opposite Dev Deep Nagar Society, Jai Lakshmi Society, Madhav Nagar, Akota, Vadodara, Gujarat 390007 ",22.2871841,73.1650021,4.4,,095746 85109 ,,Caffe+De+Rio,cafe,22.298,73.175
Chaibugs,Cafe,"Plotno.11, Shraddhadeep Society, Akota - Mujmahuda Rd, opp. GIHM College, Sheetal Nagar, Akota, Vadodara, Gujarat 390020 ",22.2909016,73.1711277,4.4,,063547 26093 ,,Chaibugs,cafe,22.298,73.175
Kadak,Cafe,"Kadak, SB 7, Gajanand Complex, Old Padra Road, Akota Rd, near Main Road, Akota, Vadodara, Gujarat 390007 ",22.2925029,73.165062,5.0,,,http://kadak.vadodara.com/,Kadak,cafe,22.298,73.175
THE DUGOUT CAFE_HOUSE_EDITION,Cafe,"6/7, near, Akota Stadium Rd, Sundarvan Society, Sheetal Nagar, Akota, Vadodara, Gujarat 390007 ",22.2959355,73.1710507,4.4,,079900 41728 ,,THE+DUGOUT+CAFE_HOUSE_EDITION,cafe,22.298,73.175
Red Rose Cafe,Coffee shop,"75WG+P98, Aashapuri Society, Sheetal Nagar, Akota, Vadodara, Gujarat 390007 ",22.2967824,73.175971,4.8,,091049 30369 ,,Red+Rose+Cafe,cafe,22.298,73.175
Cafe WorkBrew,Cafe,"GF, Zex House, below Allure & Beard Studio, opposite Galleria Mall, Prafull Society, Tarangan Society, Akota, Vadodara, Gujarat 390007 ",22.2999024,73.1690952,4.3,,082380 35000 ,https://www.instagram.com/work.brew/,Cafe+WorkBrew,cafe,22.298,73.175
Times Cafe The Lounge,Coffee shop,"Prafull Society, Tarangan Society, Haripura, Vadodara, Gujarat 390007 ",22.2999569,73.1691277,4.0,,096626 89707 ,,Times+Cafe+The+Lounge,cafe,22.298,73.175
Meet Me Cafe – Private Cabin Cafe in Vadodara,Cafe,"Indiabulls Megamall, S/12C, Swami Vivekananda Railway Over Brg, Road, Akota, Vadodara, Gujarat 390007 ",22.3061378,73.179725,4.3,,099047 99887 ,https://www.instagram.com/meet_me_cafe_vadodara?igsh=bGczcmU5ZWlvdjYx&utm_source=qr,Meet+Me+Cafe+%E2%80%93+Private+Cabin+Cafe+in+Vadodara,cafe,22.298,73.175
Times Cafe HQ OP Road,Cafe,"Sai Villa Complex, 103, Old Padra Rd, opp. Reliance Mall, Shripal Society, Madhav Nagar, Akota, Vadodara, Gujarat 390007 ",22.2858264,73.1650663,4.1,,096626 89707 ,,Times+Cafe+HQ+OP+Road,cafe,22.298,73.175
Coffee Yard,Coffee shop,"23, Akota Stadium Rd, Guruprasad Society, IOC Nagar, Haripura, Vadodara, Gujarat 390007 ",22.297467,73.169589,4.1,,099781 86903 ,,Coffee+Yard,cafe,22.298,73.175
DARK BITE JUNGLE,Cafe,"19, Pratham Avenue, Akota, Vadodara, Gujarat 390007 ",22.2929517,73.1747079,4.8,,,,DARK+BITE+JUNGLE,cafe,22.298,73.175
