name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
Punjabi restaurant,Punjabi restaurant,"Air Force Rd, Yashoda Colony, Himmat Nagar, Makarpura, Vadodara, Gujarat 390014 ",22.2369314,73.1923668,5.0,12,,,ChIJAWo4uyvFXzkRGdjDej6i7yg,restaurant,22.212143,73.185307
SMS HOSPITAL VADODARA - BEST MULTISPECIALITY HOSPITAL,Hospital,"2nd, 3rd Floor, Ganesh Plaza, above Ganesh Hyundai Showroom, near Maneja Crossing Road, JD Nagar, Makarpura, Vadodara, Gujarat 390013 ",22.2352361,73.1877785,4.8,"2,099",081419 65965 ,https://smshospital.co.in/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_id=101,ChIJL6pKwDfFXzkRtSl5j1IAVOA,hospital,22.212143,73.185307
Singhania Multispeciality hospital,Hospital,"F22-23, Susen - Tarsali Ring Rd, Tarsali, Vadodara, Gujarat 390009 ",22.2565088,73.2045843,3.0,1,,,ChIJK5EsthvFXzkRLNkU0rsL6a8,hospital,22.212143,73.185307
Maa Chamunda Stationery,Store,"Shop no 45, Aakruti Heights, near Aksar Public School, behind Tarsali, Tarsali, Vadodara, Gujarat 390009 ",22.2576644,73.2278393,,,092656 32584 ,,ChIJ-UpFyc3FXzkR8tLNUJ1yqRs,shop,22.212143,73.185307
DIVINE HEALTH CLINIC,Medical clinic,"A/58, shop no, 2, Vrajdham Society, Chhani Jakatnaka, Vadodara, Gujarat 390014 ",22.2414524,73.2002926,5.0,15,,,ChIJiw0BjV_JXzkRxfKBeLBRUFk,clinic,22.212143,73.185307
Snacks Station,snacks,"C, 30, opposite Ravi park, Motinagar-3, Ayodhya Twp, Tarsali, Vadodara, Gujarat 390009 ",22.2503863,73.2103795,,,099791 34987 ,,ChIJ34KIADXFXzkR42NfECGl_9Q,snacks,22.212143,73.185307
Mr. Bind Bakery,Bakery and Cake Shop,"HARI DARSHAN, near behind Airforce, Makarpura, Vadodara, Gujarat 390014 ",22.2386974,73.2007511,4.5,127,,,ChIJQbxggarFXzkRpBtyIxZJvj4,bakery,22.212143,73.185307
Sandeep Sweet and Namkeen,Sweet shop,"9,10 Amrapali Complex, Makarpura, Vadodara, Gujarat 390010 ",22.2455003,73.1952919,4.4,475,093286 10446 ,,ChIJjRJcyjHEXzkR3N5AsKYvakE,sweet shop,22.212143,73.185307
Laxmi Sweet & Farsan Mart,Indian sweets shop,"B77, Makarpura Rd, Bhakti Nagar, Makarpura, Vadodara, Gujarat 390010 ",22.251305,73.2001267,4.3,401,081286 71783 ,,ChIJqRZbYTTEXzkREVgqTfd9Q8Q,sweet shop,22.212143,73.185307
Shree Vidya Learning School,Preschool,"1, Makarpura Rd, Sanskar Tenament, JD Nagar, Maneja, Vadodara, Gujarat 390013 ",22.2314187,73.1869671,5.0,1,,,ChIJ86ef7CHEXzkReeJI__7gYvg,school,22.212143,73.185307
Hanumanji Temple,Hindu temple,"66Q6+M54, NH 48, Vadodara, Gujarat 390009 ",22.2391332,73.2104488,4.2,5,,,ChIJGTbKuUbEXzkRPqYHNhiAglQ,temple,22.212143,73.185307
महादेव मंदिर,Hindu temple,"65QQ+7J5, Maratha Colony, Jayram Nagar, Makarpura, Vadodara, Gujarat 390014 ",22.2381438,73.1891028,5.0,4,,,ChIJb05V4HvFXzkRRY_ChOIzyhk,temple,22.212143,73.185307
Sreenarayana Temple,Hindu temple,"29, Makarpura Rd, JD Nagar, Maneja, Vadodara, Gujarat 390013 ",22.2365516,73.1882018,4.6,5,,,ChIJ9ddSVyHEXzkR32-P13ioywU,temple,22.212143,73.185307
Triyambkeswe Shiv Temple,Hindu temple,"Rajmani Society, Maneja Crossing Rd, Maratha Colony, Jayram Nagar, Makarpura, Vadodara, Gujarat 390014 ",22.2380352,73.1889583,4.3,16,,,ChIJRXo9icLFXzkRh7BrmH4BdGI,temple,22.212143,73.185307
Hindu temple,Hindu temple,"65JX+PMW, Air Force Rd, Makarpura, Vadodara, Gujarat 390014 ",22.231858,73.19921,4.8,4,,,ChIJoZFsX6XFXzkRd8XroNCA12M,temple,22.212143,73.185307
St. Alphonsa Syro Malabar Catholic Church.,Church,"65JJ+58Q, Maneja, Vadodara, Gujarat 390013 ",22.2304549,73.1808532,4.9,35,,,ChIJDXOfbgDHXzkRWlSmqzK_g-E,church,22.212143,73.185307
Sharon Fellowship Church,Church,"B-401, Samrudhi Complex, Bhakti Nagar, Makarpura, Vadodara, Gujarat 390010 ",22.2486593,73.1967507,5.0,2,,,ChIJx7QZP47FXzkRlXY-M2Nzh_w,church,22.212143,73.185307
"St George Orthodox Chapel, Jambua",Chapel,"65GP+P2F, Vraj Dham Society, Makarpura, Vadodara, Gujarat 390013 ",22.2268052,73.1850553,4.4,13,,,ChIJhc13VR7EXzkRz0Lr9TsfIaU,church,22.212143,73.185307
Vadadala primary school,Primary school,"66WR+V39, Vadadla, Gujarat 390009 ",22.2471558,73.2402368,,,,,ChIJG_GDq5nFXzkRPl9SMzN0agw,school,22.212143,73.185307
New look salon - Top Hair & Beauty Salon In Vadodara,Hairdresser,"FF-12/2, Aatmiya Heights, Maneja Crossing Rd, Guru Nagar, Jayram Nagar, Makarpura, Vadodara, Gujarat 390009 ",22.2361748,73.1890191,4.9,"1,911",092750 31605 ,http://newlooksalon.in/,ChIJbyJSBiTEXzkRVkx2_jeqKmI,salon,22.212143,73.185307
Om Medical And General Store,Pharmacy,"Shop No. C-28, Gayatrinagar Shopping, Makarpura Rd, Near Jambuva Octroi Naka, Gayatri Nagar, Vraj Dham Society, Maneja, Vadodara, Gujarat 390013 ",22.2288919,73.18722,5.0,1,094273 45108 ,,ChIJ-VRGRh_EXzkRXP8TNtzE7fk,medical store,22.212143,73.185307
